ParameterId;Date;Value
6;04.08.2011;0,514
7;04.08.2011;19,8
8;04.08.2011;44,59459
9;04.08.2011;1,207595
10;04.08.2011;1,201621
11;04.08.2011;0,9996462
12;04.08.2011;0,5658453
13;04.08.2011;0,3643257
14;04.08.2011;0,7416602
15;04.08.2011;3,226125
20;04.08.2011;0,1893492
21;04.08.2011;4,080798
22;04.08.2011;5,184854
23;04.08.2011;2,88125
24;04.08.2011;582,6465
25;04.08.2011;0,1516279
26;04.08.2011;323,1104
28;04.08.2011;30,41573
29;04.08.2011;67,5
30;04.08.2011;3328,44
31;04.08.2011;2,967743
34;04.08.2011;28,39468
35;04.08.2011;435,62
36;04.08.2011;1,002532
37;04.08.2011;0,9636363
38;04.08.2011;7,306922
39;04.08.2011;34,1954
40;04.08.2011;1,077943
41;04.08.2011;1,284905
42;04.08.2011;1,059168
43;04.08.2011;11,5
44;04.08.2011;0,46
45;04.08.2011;0,3
46;04.08.2011;0,6
47;04.08.2011;89,5
48;04.08.2011;7,9
49;04.08.2011;35,10234
50;04.08.2011;56,63517
51;04.08.2011;1874,13
52;04.08.2011;3,902138
53;04.08.2011;1337,814
54;04.08.2011;2274,558
55;04.08.2011;435,711
1;04.08.2011;1,433779
2;04.08.2011;1,003645
3;04.08.2011;0,4301336
4;04.08.2011;1251,002
5;04.08.2011;204,008
6;04.08.2011;0,5
7;04.08.2011;21
8;04.08.2011;47,2973
9;04.08.2011;1,191195
10;04.08.2011;1,23164
11;04.08.2011;0,9996793
12;04.08.2011;0,5655603
13;04.08.2011;0,3641422
14;04.08.2011;0,7412867
15;04.08.2011;3,518987
20;04.08.2011;0,1752418
21;04.08.2011;4,277956
22;04.08.2011;4,937892
23;04.08.2011;2,876168
24;04.08.2011;576,5148
25;04.08.2011;0,1444056
26;04.08.2011;348,7691
28;04.08.2011;35,50742
29;04.08.2011;65
30;04.08.2011;3252,909
31;04.08.2011;2,825942
34;04.08.2011;28,24117
35;04.08.2011;433,0281
36;04.08.2011;0,9849057
37;04.08.2011;0,9432271
38;04.08.2011;7,796943
39;04.08.2011;36,63462
40;04.08.2011;1,070105
41;04.08.2011;1,276153
42;04.08.2011;1,052006
43;04.08.2011;11,4
44;04.08.2011;0,46
45;04.08.2011;0,3
46;04.08.2011;0,5
47;04.08.2011;89,4
48;04.08.2011;8
49;04.08.2011;35,18045
50;04.08.2011;56,58591
51;04.08.2011;1865,546
52;04.08.2011;3,898738
53;04.08.2011;1272,903
54;04.08.2011;2165,45
55;04.08.2011;436,3438
1;04.08.2011;1,382988
2;04.08.2011;0,9680917
3;04.08.2011;0,4148965
4;04.08.2011;1251,44
5;04.08.2011;205,0535
6;04.08.2011;0,535
9;04.08.2011;1,203027
10;04.08.2011;1,250618
11;04.08.2011;0,999557
12;04.08.2011;0,5461901
13;04.08.2011;0,3516705
14;04.08.2011;0,715898
15;04.08.2011;3,199254
20;04.08.2011;0,204261
21;04.08.2011;4,636467
22;04.08.2011;4,874112
23;04.08.2011;2,823361
24;04.08.2011;580,5808
25;04.08.2011;0,1425404
26;04.08.2011;331,5654
28;04.08.2011;36,31593
29;04.08.2011;64,5
30;04.08.2011;3367,123
31;04.08.2011;2,831362
34;04.08.2011;27,28
35;04.08.2011;440,1957
36;04.08.2011;0,9836066
37;04.08.2011;0,9607251
